metric,value
seed,789
drm.mean_lure_sim,0.8275226304928461
drm.best_match.threshold,0.8200000000000003
drm.best_match.false_alarm_critical,0.5833333333333334
spacing_v2.massed,0.05
spacing_v2.short,0.03
spacing_v2.medium,0.06
spacing_v2.long,0.74
spacing_v2.matches_human_order,False
spacing_v2.best_sigma,0.5
spacing_v2.n_distractors,100000
tot_v2.rate,0.0354
tot_v2.count,354
tot_v2.total_queries,10000
tot_v2.pca_dim,128
topology_v2.edge_0.5.betti_0,7
topology_v2.edge_0.5.betti_1,0
topology_v2.edge_1.0.betti_0,1
topology_v2.edge_1.0.betti_1,0
topology_v2.edge_1.5.betti_0,1
topology_v2.edge_1.5.betti_1,0
topology_v2.edge_2.0.betti_0,1
topology_v2.edge_2.0.betti_1,0
topology_v2.edge_2.5.betti_0,1
topology_v2.edge_2.5.betti_1,0
topology_v2.edge_3.0.betti_0,1
topology_v2.edge_3.0.betti_1,0
